"Neuer","Manuel","27.03.1986"
"Boateng","Jérôme","03.09.1988"
"Hummels","Mats","16.12.1988"
"Mertesacker","Per","29.09.1984"
"Khedira","Sami","04.04.1987"
"Kroos","Toni","04.01.1990"
"Lahm","Philipp","11.11.1983"
"Özil","Mesut","15.10.1988"
"Schweinsteiger","Bastian","01.08.1984"
"Götze","Mario","03.06.1992"
"Klose","Miroslav","09.06.1987"
"Podolski","Lukas","04.06.1985"
"Schürrle","André","06.11.1990"
